num_insa,civilite,prenom,nom,annee,langue,email,section,groupe,decision_jury,commentaire,an,redoublant,intégré,Allemand,Espagnol,Français,Espagnol_debutant,Allemand_debutant,Espagnol_grand_debutant,Allemand_grand_debutant,Nouvelle_section,Nouveau_groupe
240002,M.,Aylin,Kaya,2023,ESP,Aylin.Kaya@insa-rouen.fr,SIB,K,,"eheh
dkpdjo",2023,0,0,0,1,0,0,0,0,0,1,A
240006,M.,Thibault,Lacroix,2023,ESP,Thibault.Lacroix@insa-rouen.fr,0,SA1,,",zdfn",2023,0,0,0,1,0,0,0,0,0,1,A
240008,MME,Marilou,Joubert,2022 - RED - 2A,ALL,Marilou.Joubert@insa-rouen.fr,2,E,,,2022,2,0,1,0,0,0,0,0,0,2,E
240010,M.,Léna,Guerin,2023,ESP,Léna.Guerin@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,1,A
240014,M.,Achille,Valentin,2023,ESP,Achille.Valentin@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,1,A
240028,MME,Gaël,Lamy,2023,ALLD,Gaël.Lamy@insa-rouen.fr,1,D,,,2023,0,0,0,0,0,0,1,0,0,,
240046,MME,Oscar,Delattre,2023,ALL,Oscar.Delattre@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240058,M.,Gustave,Descamps,2023,ALL,Gustave.Descamps@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240064,MME,Olympe,Reynaud,2023,ESP,Olympe.Reynaud@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,1,A
240065,M.,Bora,Erdogan,2023,FLE,Bora.Erdogan@insa-rouen.fr,SIB,I,Points de jury STI,,2023,0,0,0,0,1,0,0,0,0,,
240066,M.,Simon,Seguin,2023,ESP,Simon.Seguin@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,1,A
240072,M.,Loup,Lacombe,2023,ESP,Loup.Lacombe@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,1,A
240076,M.,Haruto,Fujimoto,2023,ESPD,Haruto.Fujimoto@insa-rouen.fr,SIB,J,,,2023,0,0,0,0,0,1,0,0,0,,
240077,M.,Ilyan,Nicolas,2023,ESP,Ilyan.Nicolas@insa-rouen.fr,2,G,"rattrapage P2, P3",,2023,0,0,0,1,0,0,0,0,0,1,A
240080,MME,Chloé,Durand,2023,ESP,Chloé.Durand@insa-rouen.fr,1,A,,,2023,0,0,0,1,0,0,0,0,0,1,A
240084,M.,Lara,Delannoy,2023,ALL,Lara.Delannoy@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240089,M.,Romain,Brun,2023,ESP,Romain.Brun@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240095,M.,Yuto,Park,2023 - INT 2A - RED,ESPD,Yuto.Park@insa-rouen.fr,SIB,J,,,2023,2,1,0,0,0,1,0,0,0,,
240097,M.,Kenzo,Cousin,2023,ESP,Kenzo.Cousin@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240102,MME,Eulalie,Deville,2023,ESP,Eulalie.Deville@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240103,M.,Nina,Charpentier,2023,ESP,Nina.Charpentier@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240107,MME,Perrine,Debray,2022-RED-1A,ESP,Perrine.Debray@insa-rouen.fr,2,H,,,2022,1,0,0,1,0,0,0,0,0,,
240108,M.,Solène,Benard,2023,ALL,Solène.Benard@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240113,M.,Ayumi,Hsu,2023,ESP,Ayumi.Hsu@insa-rouen.fr,SIB,K,,,2023,0,0,0,1,0,0,0,0,0,,
240117,M.,Hugo,Gaudin,2023,ESPD,Hugo.Gaudin@insa-rouen.fr,2,F,,,2023,0,0,0,0,0,1,0,0,0,,
240120,MME,Clarisse,Lejeune,2024 - INT 2A,ALLGD,Clarisse.Lejeune@insa-rouen.fr,0,,,,2024,0,1,1,0,0,0,0,0,1,,
240144,MME,Olivier,Henri,2023,ESP,Olivier.Henri@insa-rouen.fr,0,SA1,,,2023,0,0,0,1,0,0,0,0,0,,
240152,M.,Rachid,Bouzid,2023,ESPD,Rachid.Bouzid@insa-rouen.fr,SIB,I,Points de jury,,2023,0,0,0,0,0,1,0,0,0,,
240156,M.,Kilian,Renaud,2024 - INT 2A,ESPGD,Kilian.Renaud@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,1,0,,
240163,M.,Eline,Pasquier,2023,ALLD,Eline.Pasquier@insa-rouen.fr,1,D,,,2023,0,0,0,0,0,0,1,0,0,,
240164,M.,Baptiste,Masson,2023,ESP,Baptiste.Masson@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240167,M.,Aurèle,Bastide,2023,ESP,Aurèle.Bastide@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240169,MME,Malo,Maillard,2023,ESP,Malo.Maillard@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240171,M.,Elisa,Blanc,2023,ESP,Elisa.Blanc@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
