,,,,,,,,,
N° INSA,M/Mme,Prenom,NOM,Année,Langue,mail,Groupe,Decision Jury STPI1,Commentaire
240080,MME,Chloé,Durand,2023,ESP,Chloé.Durand@insa-rouen.fr,A,,
240174,M.,Jules,Petit,2022 - RED - 2A,ALLD,Jules.Petit@insa-rouen.fr,A,,
240214,MME,Alice,Thomas,2023,ESP,Alice.Thomas@insa-rouen.fr,A,,passage en SIB
240272,M.,Hugo,Robert,2023,ESP,Hugo.Robert@insa-rouen.fr,A,,
240276,MME,Paul,Mercier,2023,ESP,Paul.Mercier@insa-rouen.fr,A,,
240280,MME,Arthur,Michel,2023,ESP,Arthur.Michel@insa-rouen.fr,A,,passage en SIB
240303,MME,Camille,Simon,2023,ESP,Camille.Simon@insa-rouen.fr,A,,
240320,M.,Emma,Bernard,2023,ESPD,Emma.Bernard@insa-rouen.fr,A,,passage en SIB
240334,MME,Zoé,Lefevre,2023,ESP,Zoé.Lefevre@insa-rouen.fr,A,,
240380,M.,Louis,Martin,2023,ESPD,Louis.Martin@insa-rouen.fr,A,,passage en SIB
240443,MME,Manon,Morel,2023,ESP,Manon.Morel@insa-rouen.fr,A,,
240501,M.,Noah,Lambert,2023,ESPD,Noah.Lambert@insa-rouen.fr,A,,
240626,M.,Nathan,Laurent,2023,ESPD,Nathan.Laurent@insa-rouen.fr,A,,
240660,M.,Léa,Richard,2023,ESP,Léa.Richard@insa-rouen.fr,A,Points de jury,
240726,MME,Louise,Dupont,2023,ESPD,Louise.Dupont@insa-rouen.fr,A,,
240747,M.,Sarah,Bonnet,2022-RED-1A,ESPD,Sarah.Bonnet@insa-rouen.fr,A,,
240785,MME,Lucas,Lemoine,2023,ESPD,Lucas.Lemoine@insa-rouen.fr,A,"Rattrapage I1, M2",
240854,M.,Victor,Francois,2023,ESPD,Victor.Francois@insa-rouen.fr,A,,
240954,M.,Gabriel,Dubois,2023,ESPD,Gabriel.Dubois@insa-rouen.fr,A,rattrapage C2,
240010,M.,Léna,Guerin,2023,ESP,Léna.Guerin@insa-rouen.fr,B,,
240164,M.,Baptiste,Masson,2023,ESP,Baptiste.Masson@insa-rouen.fr,B,,
240171,M.,Elisa,Blanc,2023,ESP,Elisa.Blanc@insa-rouen.fr,B,,
240203,MME,Lina,Faure,2023,ESP,Lina.Faure@insa-rouen.fr,B,,
240227,MME,Clément,Leclercq,2023,ESP,Clément.Leclercq@insa-rouen.fr,B,Points de jury,
240326,M.,Ethan,Guillaume,2023,ESP,Ethan.Guillaume@insa-rouen.fr,B,,
240474,M.,Eva,Robin,2023,ESP,Eva.Robin@insa-rouen.fr,B,,
